id,asset_type_id,"title","heading","subhead","blurb","description"
1,1,NULL,NULL,NULL,NULL,NULL
2,1,NULL,NULL,NULL,NULL,NULL
3,1,NULL,NULL,NULL,NULL,NULL
4,1,NULL,NULL,NULL,NULL,NULL
5,1,NULL,NULL,NULL,NULL,NULL
6,1,NULL,NULL,NULL,NULL,NULL
7,1,NULL,NULL,NULL,NULL,NULL
10,2,NULL,NULL,NULL,NULL,NULL
11,2,NULL,NULL,NULL,NULL,NULL
12,2,NULL,NULL,NULL,NULL,NULL
13,2,NULL,NULL,NULL,NULL,NULL
14,2,NULL,NULL,NULL,NULL,NULL
15,1,NULL,NULL,NULL,NULL,NULL
16,2,NULL,NULL,NULL,NULL,NULL
19,1,NULL,NULL,NULL,NULL,NULL
20,2,NULL,NULL,NULL,NULL,NULL
21,1,NULL,NULL,NULL,NULL,NULL
26,1,NULL,NULL,NULL,NULL,NULL
37,1,NULL,NULL,NULL,NULL,NULL
44,1,NULL,NULL,NULL,NULL,NULL
48,2,NULL,NULL,NULL,NULL,NULL
49,2,NULL,NULL,NULL,NULL,NULL
50,2,NULL,NULL,NULL,NULL,NULL
51,2,NULL,NULL,NULL,NULL,NULL
52,2,NULL,NULL,NULL,NULL,NULL
53,2,NULL,NULL,NULL,NULL,NULL
54,2,NULL,NULL,NULL,NULL,NULL
55,2,NULL,NULL,NULL,NULL,NULL
56,2,NULL,NULL,NULL,NULL,NULL
57,2,NULL,NULL,NULL,NULL,NULL
58,2,NULL,NULL,NULL,NULL,NULL
59,2,NULL,NULL,NULL,NULL,NULL
